group,child,parent
647,backfire,explosion
647,nuclear explosion,explosion
647,inflation,blast
647,blowback,backblast
647,backblast,blast
647,airburst,blast
647,fragmentation,blast
647,bomb blast,blast
647,big bang,explosion
647,blast,explosion
647,explosion,blast
648,Alzheimer's disease,dementia
648,alcoholic dementia,dementia
648,insanity,derangement
648,dementia,derangement
648,craziness,derangement
648,irrationality,derangement
648,presenile dementia,dementia
648,derangement,dementia
648,senile dementia,dementia
648,Pick's disease,dementia
648,lunacy,derangement
649,diameter,extension
649,shortness,length
649,coextension,extension
649,radius of curvature,radius
649,circumference,length
649,elongation,length
649,radius,semidiameter
649,windage,diameter
649,length,extension
649,bore,diameter
649,longness,length
650,national insurance,social insurance
650,dole,relief
650,social welfare,relief
650,Medicaid,health care
650,Medicare,health care
650,disability insurance,social insurance
650,old-age insurance,social insurance
650,relief,social welfare
650,supplementary benefit,relief
650,health care,primary health care
650,primary health care,health care
650,Social Security,social insurance
650,social insurance,social welfare
650,unemployment compensation,relief
650,survivors insurance,social insurance
651,vambrace,armor plate
651,basinet,helmet
651,morion,helmet
651,roundel,helmet
651,casque,helmet
651,cuisse,armor plate
651,chanfron,helmet
651,cannon,armor plate
651,casquet,helmet
651,sallet,helmet
651,nosepiece,helmet
651,brassard,armor plate
651,knee piece,armor plate
651,breastplate,armor plate
651,greave,armor plate
651,helmet,armor plate
651,fauld,armor plate
651,tasset,armor plate
651,armet,helmet
651,epauliere,armor plate
651,cubitiere,armor plate
651,skirt of tasses,armor plate
651,visor,helmet
651,tuille,armor plate
651,solleret,armor plate
651,beaver,helmet
651,pallette,armor plate
651,heaume,helmet
651,pickelhaube,helmet
651,backplate,armor plate
651,gorget,armor plate
651,plastron,armor plate
651,rerebrace,armor plate
652,ascomycete,discomycete
652,Sarcoscypha coccinea,Sarcosomataceae
652,Leotia lubrica,discomycete
652,Caloscypha fulgens,Sarcosomataceae
652,Urnula craterium,discomycete
652,devil's urn,Urnula craterium
652,Aleuria aurantia,discomycete
652,Galiella rufa,Sarcosomataceae
652,black felt cup,Geglossaceae
652,Mitrula elegans,discomycete
652,Peziza domicilina,discomycete
652,devil's cigar,Clavicipitaceae
652,Jafnea semitosta,Clavicipitaceae
652,winter urn,Urnula craterium
652,soldier grainy club,grainy club
652,charred pancake cup,discomycete
652,Rufous rubber cup,discomycete
652,blood cup,discomycete
653,tutelage,teaching
653,lesson,teaching
653,indoctrination,teaching
653,music lesson,lesson
653,dance lesson,lesson
653,French lesson,language lesson
653,teaching reading,language teaching
653,tennis lesson,lesson
653,golf lesson,lesson
653,sleep-learning,teaching
653,lecture,talk
653,schooling,teaching
653,language lesson,lesson
653,piano lesson,music lesson
653,brainwashing,indoctrination
653,catechesis,teaching
653,catechetical instruction,teaching
653,Hebrew lesson,language lesson
653,German lesson,language lesson
653,violin lesson,music lesson
653,chalk talk,talk
653,whole-word method,teaching
653,inculcation,teaching
653,spoonfeeding,teaching
654,psychotherapist,therapist
654,herbalist,therapist
654,naturopath,therapist
654,masseuse,massager
654,chiropractor,therapist
654,masseur,massager
654,osteopath,therapist
654,electrotherapist,therapist
654,speech therapist,therapist
654,curandero,therapist
654,naprapath,therapist
654,alleviator,therapist
654,physical therapist,therapist
654,curandera,therapist
654,sangoma,therapist
655,chevron,ordinary
655,fleur-de-lis,charge
655,coat of arms,heraldry
655,bar sinister,charge
655,bend,ordinary
655,quartering,coat of arms
655,fesse,ordinary
655,annulet,charge
656,Nestorian Church,Eastern Church
656,Russian Orthodox Church,Orthodox Church
656,Coptic Church,Eastern Church
656,Armenian Church,Eastern Church
656,Roman Catholic,Catholic Church
656,Orthodox Church,Eastern Church
656,church,religious institution
656,Eastern Church,church
656,Old Catholic Church,Catholic Church
656,Uniat Church,Catholic Church
656,Protestant Church,church
656,Pentecostal religion,Protestant Church
656,Greek Orthodox Church,Orthodox Church
656,Unification Church,Protestant Church
656,Catholic Church,church.
657,tablespoon,spoon
657,sugar spoon,spoon
657,dessert spoon,spoon
657,soupspoon,spoon
657,wooden spoon,spoon
657,teaspoon,spoon
657,Spork,spoon
657,iced-tea spoon,spoon
657,fish knife,knife
657,steak knife,knife
657,table knife,knife
657,case knife,knife
657,butter knife,knife
657,carving fork,fork
657,salad fork,fork
657,tablefork,fork
657,toasting fork,fork
657,cutlery,spoon
657,tea maker,spoon
657,runcible spoon,spoon
657,fork,cutlery
658,descant,voice part
658,accompaniment,part
658,figured bass,bass
658,bass,voice part
658,tune,theme
658,voice part,part
658,ground bass,bass
658,inversion,variation
658,signature,statement
658,roulade,flourish
658,flourish,statement
658,leitmotiv,motif
658,motif,theme
658,secondo,part
658,obbligato,variation
658,theme song,theme
658,primo,part
658,variation,statement
658,vamp,statement
658,partita,part
658,part,statement
658,glissando,swoop
658,canto,voice part
658,swoop,statement
658,augmentation,variation
658,diminution,variation
658,theme,statement
658,statement,musical concept
659,diapason,organ stop
659,dulciana,flue stop
659,sourdine,flue stop
659,vox humana,reed stop
659,flue stop,organ stop
659,vox angelica,flue stop
659,reed stop,organ stop
659,flue pipe,organ pipe
659,organ pipe,organ stop
659,reed pipe,organ pipe
660,cardiogenic shock,shock
660,hypovolemic shock,shock
660,heatstroke,heat exhaustion
660,sunstroke,heatstroke
660,nervous breakdown,breakdown
660,obstructive shock,shock
660,distributive shock,shock
660,insulin shock,shock
660,algidity,collapse
660,collapse,breakdown
660,nervous exhaustion,collapse
660,shock,collapse
660,neurasthenia,collapse
661,abacus,calculator
661,adding machine,calculator
661,subtracter,calculator
661,adder,calculator
661,pulse counter,counter
661,Napier's bones,calculator
661,scaler,calculator
661,hand calculator,calculator
661,quipu,calculator
662,implant,prosthesis
662,peg,implant
662,artificial joint,implant
662,heart valve,implant
662,shunt,implant
662,obturator,implant
662,Jarvik heart,artificial heart
662,breast implant,implant
662,lens implant,implant
662,glass eye,prosthesis
662,penile implant,implant
662,accommodating lens implant,lens implant
662,dental implant,implant
662,multifocal lens implant,lens implant
662,monofocal lens implant,lens implant
663,Norwich terrier,terrier
663,Border terrier,terrier
663,Yorkshire terrier,terrier
663,wire-haired fox terrier,terrier
663,Clydesdale terrier,terrier
663,Australian terrier,terrier
663,Lakeland terrier,terrier
663,Sealyham terrier,terrier
663,Manchester terrier,terrier
663,Scotch terrier,terrier
663,Boston bull,terrier
663,Dandie Dinmont,terrier
663,Norfolk terrier,terrier
663,silky terrier,terrier
663,cairn,terrier
663,Welsh terrier,terrier
663,Skye terrier,terrier
663,Irish terrier,terrier
663,West Highland white terrier,terrier
663,fox terrier,terrier
663,American Staffordshire terrier,bullterrier
663,Staffordshire bullterrier,bullterrier
663,Bedlington terrier,terrier
663,miniature schnauzer,schnauzer
663,soft-coated wheaten terrier,terrier
663,giant schnauzer,schnauzer
663,standard schnauzer,schnauzer
663,toy Manchester,terrier
663,Kerry blue terrier,terrier
663,Lhasa,terrier
663,rat terrier,terrier
663,wirehair,terrier
663,terrier,dog
664,calcite,spar
664,Iceland spar,calcite
664,plagioclase,feldspar
664,orthoclase,feldspar
664,albite,plagioclase
664,alabaster,calcite
664,moonstone,orthoclase
664,spar,calcite
665,government,state
665,Soviets,government
665,palace,court
665,government-in-exile,government
665,authoritarian state,government
665,bureaucracy,government
665,local government,government
665,welfare state,government
665,totalitarian state,government
665,commission plan,government
665,empire,government
665,federal government,government
665,state government,government
665,military government,government
665,Porte,government
665,United States government,government
665,municipal government,local government
665,papacy,government
665,puppet government,government
665,Court of Saint James's,court
665,ancien regime,government
