group,child,parent
647,backfire,explosion
647,nuclear explosion,explosion
647,blast,explosion
647,explosion,fragmentation
647,airburst,explosion
647,bomb blast,blast
647,inflation,explosion
647,backblast,blast
647,blowback,backblast
647,big bang,explosion
648,senile dementia,dementia
648,alcoholic dementia,dementia
648,derangement,insanity
648,lunacy,insanity
648,craziness,insanity
648,irrationality,insanity
648,presenile dementia,dementia
648,Pick's disease,presenile dementia
648,Alzheimer's disease,presenile dementia
648,dementia,derangement
648,insanity,derangement
649,length,extension
649,longness,length
649,shortness,length
649,radius,semidiameter
649,semidiameter,radius of curvature
649,diameter,radius of curvature
649,circumference,diameter
649,bore,diameter
649,windage,coextension
649,elongation,length
649,radius of curvature,radius
649,coextension,extension
650,Medicaid,primary health care
650,disability insurance,social insurance
650,national insurance,social insurance
650,supplementary benefit,social welfare
650,relief,social welfare
650,survivors insurance,social insurance
650,unemployment compensation,social insurance
650,social insurance,social welfare
650,Social Security,social insurance
650,old-age insurance,social insurance
650,Medicare,health care
650,health care,social welfare
650,dole,relief.
651,tuille,skirt of tasses
651,armet,helmet
651,sallet,helmet
651,visor,helmet
651,casque,helmet
651,gorget,helmet
651,pickelhaube,helmet
651,morion,helmet
651,heaume,helmet
651,basinet,helmet
651,roundel,helmet
651,beaver,helmet
651,pallette,armor plate
651,backplate,armor plate
651,breastplate,armor plate
651,plastron,armor plate
651,cuisse,armor plate
651,greave,armor plate
651,solleret,armor plate
651,tasset,armor plate
651,brassard,armor plate
651,nosepiece,armor plate
651,cubitiere,armor plate
651,vambrace,armor plate
651,chanfron,armor plate
651,rerebrace,armor plate
651,fauld,armor plate
652,Aleuria aurantia,discomycete
652,Jafnea semitosta,discomycete
652,Urnula craterium,discomycete
652,Mitrula elegans,discomycete
652,Peziza domicilina,discomycete
652,Leotia lubrica,discomycete
652,Caloscypha fulgens,discomycete
652,Sarcoscypha coccinea,discomycete
652,Galiella rufa,discomycete
652,soldier grainy club,grainy club
652,blood cup,discomycete
652,devil's urn,discomycete
652,charred pancake cup,discomycete
652,winter urn,discomycete
652,devil's cigar,discomycete
652,black felt cup,discomycete
652,Rufous rubber cup,discomycete
653,teaching,lesson
653,catechetical instruction,teaching
653,piano lesson,music lesson
653,language lesson,teaching
653,violin lesson,music lesson
653,German lesson,language lesson
653,tennis lesson,lesson
653,French lesson,language lesson
653,Hebrew lesson,language lesson
653,golf lesson,lesson
653,lecture,teaching
653,dance lesson,lesson
653,music lesson,lesson
653,spoonfeeding,teaching
653,indoctrination,teaching
653,language teaching,teaching
653,brainwashing,teaching
653,talk,lesson
653,schooling,teaching
653,inculcation,teaching
653,whole-word method,teaching
653,phonics,teaching
653,chalk talk,teaching
653,sleep-learning,teaching
653,lesson,teaching
653,tutelage,teaching
653,teaching reading,teaching
654,sangoma,therapist
654,naturopath,therapist
654,electrotherapist,therapist
654,chiropractor,therapist
654,herbalist,therapist
654,masseuse,massager
654,curandera,therapist
654,curandero,therapist
654,speech therapist,therapist
654,osteopath,therapist
654,naprapath,therapist
654,Coue,therapist
654,psychotherapist,therapist
654,masseur,massager
654,alleviator,therapist
655,chevron,ordinary
655,charge,coat of arms
655,fleur-de-lis,annulet
655,annulet,ordinary
655,fesse,ordinary
655,bend,ordinary
655,coat of arms,heraldry
655,quartering,coat of arms
655,bar sinister,ordinary
655,heraldry,coat of arms
656,Roman Catholic,Catholic Church
656,Unification Church,church
656,Armenian Church,Eastern Church
656,Nestorian Church,Eastern Church
656,Catholic Church,church
656,Pentecostal religion,Protestant Church
656,Orthodox Church,Eastern Church
656,Greek Orthodox Church,Orthodox Church
656,Old Catholic Church,Catholic Church
656,Russian Orthodox Church,Orthodox Church
656,Coptic Church,Eastern Church
656,Uniat Church,Catholic Church
656,Protestant Church,church
657,table knife,cutlery
657,spoon,cutlery
657,fork,cutlery
657,salad fork,fork
657,teaspoon,spoon
657,tablespoon,spoon
657,fish knife,knife
657,soupspoon,spoon
657,steak knife,knife
657,dessert spoon,spoon
657,toasting fork,fork
657,iced-tea spoon,spoon
657,wooden spoon,spoon
657,runcible spoon,spoon
657,carving fork,fork
657,butter knife,knife
657,tablefork,fork
657,sugar spoon,spoon
657,tea maker,spoon
657,Spork,cutlery
657,case knife,knife
658,theme song,theme
658,motif,theme
658,voice part,part
658,glissando,flourish
658,leitmotiv,motif
658,vamp,accompaniment
658,obbligato,accompaniment
658,partita,variation
658,descant,variation
658,figured bass,bass
658,signature,statement
658,roulade,flourish
658,variation,statement
658,tune,theme
658,augmentation,statement
658,secondo,part
658,diminution,statement
658,part,voice part
658,swoop,flourish
658,primo,part
658,ground bass,bass
658,canto,voice part
658,bass,voice part
658,inversion,statement
659,diapason,organ stop
659,dulciana,flue stop
659,flue stop,organ stop
659,flue pipe,organ pipe
659,organ pipe,reed pipe
659,reed pipe,flue pipe
659,reed stop,organ stop
659,sourdine,reed stop
659,vox angelica,flue stop
659,vox humana,reed stop
660,collapse,breakdown
660,heat exhaustion,collapse
660,cardiogenic shock,shock
660,shock,collapse
660,neurasthenia,nervous breakdown
660,distributive shock,shock
660,obstructive shock,shock
660,hypovolemic shock,shock
660,sunstroke,heatstroke
660,nervous breakdown,breakdown
660,insulin shock,shock
660,nervous exhaustion,breakdown
660,heatstroke,collapse
661,abacus,calculator
661,hand calculator,calculator
661,adding machine,calculator
661,subtracter,calculator
661,scaler,calculator
661,counter,pulse counter
661,pulse counter,calculator
661,adder,calculator
661,Napier's bones,calculator
661,quipu,counter
662,lens implant,implant
662,dental implant,implant
662,heart valve,implant
662,Jarvik heart,artificial heart
662,artificial heart,implant
662,artificial joint,implant
662,accommodating lens implant,lens implant
662,shunt,implant
662,penile implant,implant
662,obturator,implant
662,monofocal lens implant,lens implant
662,peg,implant
662,multifocal lens implant,lens implant
662,prosthesis,implant
662,glass eye,prosthesis
662,breast implant,implant
663,wire-haired fox terrier,fox terrier
663,smooth-haired fox terrier,fox terrier
663,American Staffordshire terrier,Staffordshire bullterrier
663,Staffordshire bullterrier,bullterrier
663,Australian terrier,terrier
663,Kerry blue terrier,terrier
663,Bedlington terrier,terrier
663,Border terrier,terrier
663,Boston bull,bullterrier
663,Cairn,terrier
663,Dandie Dinmont,terrier
663,giant schnauzer,schnauzer
663,Lhasa,terrier
663,Manchester terrier,terrier
663,miniature schnauzer,schnauzer
663,Norfolk terrier,terrier
663,Norwich terrier,terrier
663,Scottish terrier,Scotch terrier
663,Sealyham terrier,terrier
663,silky terrier,terrier
663,Skye terrier,terrier
663,soft-coated wheaten terrier,terrier
663,standard schnauzer,schnauzer
663,West Highland white terrier,terrier
663,wirehair,terrier
663,Yorkshire terrier,terrier
663,rat terrier,terrier
663,Welsh terrier,terrier
663,Lakeland terrier,terrier
663,Clydesdale terrier,terrier
663,Irish terrier,terrier
663,Airedale,terrier
663,toy Manchester,Manchester terrier
663,bullterrier,terrier
663,terrier,dog
664,feldspar,spar
664,plagioclase,feldspar
664,orthoclase,feldspar
664,albite,plagioclase
664,anorthite,plagioclase
664,moonstone,feldspar
664,calcite,spar
664,alabaster,calcite
664,Iceland spar,calcite
664,chalk,calcite
665,government,commission plan
665,government,state government
665,puppet government,government
665,government-in-exile,government
665,government,federal government
665,palace,government
665,government,bureaucracy
665,military government,government
665,empire,government
665,court,government
665,authoritarian state,government
665,ancien regime,government
665,government,local government
665,papacy,government
665,town meeting,government
665,Soviets,government
665,Porte,government
665,municipal government,government
665,welfare state,government
665,Court of Saint James's,government
665,totalitarian state,government
665,Capital,government
