group,child,parent
647,backblast,blast
647,explosion,blast
647,backfire,blast
647,big bang,explosion
647,blowback,blast
647,airburst,explosion
647,nuclear explosion,explosion
647,fragmentation,blast
647,bomb blast,explosion
647,inflation,blast
648,craziness,derangement
648,irrationality,derangement
648,lunacy,derangement
648,insanity,derangement
648,presenile dementia,dementia
648,Alzheimer's disease,dementia
648,senile dementia,dementia
648,Pick's disease,dementia
648,alcoholic dementia,dementia
649,extension,length
649,longness,elongation
649,shortness,elongation
649,length,extension
649,circumference,length
649,diameter,length
649,semidiameter,radius
649,bore,diameter
649,radius of curvature,radius
649,radius,length
649,windage,shortness
650,Social Security,social insurance
650,national insurance,social insurance
650,old-age insurance,social insurance
650,disability insurance,social insurance
650,survivors insurance,social insurance
650,health care,social welfare
650,Medicaid,health care
650,Medicare,health care
650,primary health care,health care
650,supplementary benefit,relief
650,dole,relief
650,unemployment compensation,relief
651,helmet,armor plate
651,beaver,helmet
651,visor,helmet
651,sallet,helmet
651,armet,helmet
651,morion,helmet
651,casque,helmet
651,pickelhaube,helmet
651,pallette,helmet
651,nosepiece,helmet
651,roundel,helmet
651,brassard,armor plate
651,gorget,armor plate
651,backplate,armor plate
651,breastplate,armor plate
651,plastron,armor plate
651,cuisse,armor plate
651,tasset,armor plate
651,vambrace,armor plate
651,rerebrace,armor plate
651,greave,armor plate
651,cubitiere,armor plate
651,knee piece,armor plate
651,solleret,armor plate
651,tuille,armor plate
651,fauld,armor plate
651,chanfron,armor plate
651,skirt of tasses,armor plate
651,heaume,helmet
652,Sarcosomataceae,discomycete
652,soldier grainy club,grainy club
652,Galiella rufa,Rufous rubber cup
652,Caloscypha fulgens,charred pancake cup
652,Jafnea semitosta,grainy club
652,Sarcoscypha coccinea,blood cup
652,Mitrula elegans,winter urn
652,Leotia lubrica,discomycete
652,Peziza domicilina,discomycete
652,Urnula craterium,devil's urn
652,Aleuria aurantia,blood cup
652,devil's cigar,discomycete
652,black felt cup,discomycete
652,Geglossaceae,ascomycete
652,Clavicipitaceae,ascomycete
653,dance lesson,lesson
653,piano lesson,music lesson
653,violin lesson,music lesson
653,teaching reading,language teaching
653,French lesson,language lesson
653,Hebrew lesson,language lesson
653,German lesson,language lesson
653,tennis lesson,lesson
653,golf lesson,lesson
653,language teaching,teaching
653,catechesis,catechetical instruction
653,lecture,talk
653,teaching,schooling
653,chalk talk,talk
653,music lesson,lesson
653,phonics,language teaching
653,spoonfeeding,teaching
653,indoctrination,brainwashing
653,inculcation,brainwashing
653,sleep-learning,teaching
653,whole-word method,teaching
653,tutelage,teaching
654,curandero,curandera
654,naprapath,physical therapist
654,electrotherapist,physical therapist
654,chiropractor,physical therapist
654,osteopath,physical therapist
654,therapist,alleviator
654,psychotherapist,therapist
654,masseur,massager
654,masseuse,massager
654,herbalist,naturopath
654,speech therapist,therapist
654,naturopath,therapist
655,charge,fesse
655,chevron,ordinary
655,bend,ordinary
655,bar sinister,ordinary
655,fleur-de-lis,ordinary
655,annulet,ordinary
655,quartering,coat of arms
655,coat of arms,heraldry
655,fesse,ordinary
656,Greek Orthodox Church,Orthodox Church
656,Russian Orthodox Church,Orthodox Church
656,Catholic Church,Christian Church
656,Unification Church,Protestant Church
656,Old Catholic Church,Catholic Church
656,Uniat Church,Catholic Church
656,church,religious institution
656,Protestant Church,Christian Church
656,Coptic Church,Eastern Church
656,Roman Catholic,Catholic Church
656,Armenian Church,Eastern Church
656,Nestorian Church,Eastern Church
656,Eastern Church,Orthodox Church
656,Pentecostal religion,Protestant Church
656,Orthodox Church,Christian Church
657,salad fork,fork
657,sugar spoon,spoon
657,carving fork,fork
657,case knife,knife
657,tablespoon,spoon
657,steak knife,knife
657,wooden spoon,spoon
657,dessert spoon,spoon
657,Spork,spoon
657,soupspoon,spoon
657,iced-tea spoon,spoon
657,toasting fork,fork
657,tea maker,spoon
657,teaspoon,spoon
657,butter knife,knife
657,table knife,knife
657,tablefork,fork
657,fish knife,knife
657,cutlery,spoon
657,runcible spoon,spoon
658,theme,motif
658,vamp,accompaniment
658,part,voice part
658,bass,part
658,primo,part
658,secondo,part
658,voice part,part
658,obbligato,accompaniment
658,descant,part
658,signature,part
658,canto,part
658,partita,part
658,variation,part
658,ground bass,bass
658,figured bass,bass
658,inversion,variation
658,diminution,variation
658,leitmotiv,motif
658,flourish,variation
658,swoop,glissando
658,tune,theme
658,augmentation,variation
658,accompaniment,part
658,roulade,variation
658,glissando,statement
658,statement,theme
658,theme song,theme
659,flue stop,organ stop
659,reed pipe,organ pipe
659,dulciana,organ stop
659,diapason,organ stop
659,flue pipe,organ pipe
659,reed stop,organ stop
659,vox angelica,organ stop
659,vox humana,organ stop
659,sourdine,organ stop.
660,obstructive shock,shock
660,hypovolemic shock,shock
660,distributive shock,shock
660,cardiogenic shock,shock
660,heat exhaustion,collapse
660,sunstroke,heatstroke
660,insulin shock,shock
660,nervous breakdown,breakdown
660,nervous exhaustion,breakdown
660,algidity,collapse
660,neurasthenia,breakdown
661,abacus,hand calculator
661,scaler,pulse counter
661,Napier's bones,abacus
661,subtracter,adder
661,quipu,counter
661,adding machine,calculator
661,calculator,hand calculator
661,counter,pulse counter
662,penile implant,prosthesis
662,multifocal lens implant,lens implant
662,dental implant,prosthesis
662,artificial heart,implant
662,glass eye,prosthesis
662,artificial joint,prosthesis
662,heart valve,implant
662,breast implant,prosthesis
662,monofocal lens implant,lens implant
662,peg,prosthesis
662,accommodating lens implant,lens implant
662,obturator,prosthesis
662,Jarvik heart,artificial heart
662,shunt,implant
663,Welsh terrier,terrier
663,miniature schnauzer,schnauzer
663,American Staffordshire terrier,Staffordshire bullterrier
663,Yorkshire terrier,terrier
663,rat terrier,terrier
663,Scotch terrier,terrier
663,giant schnauzer,schnauzer
663,schnauzer,terrier
663,fox terrier,terrier
663,Airedale,terrier
663,Border terrier,terrier
663,Bedlington terrier,terrier
663,Norwich terrier,terrier
663,wire-haired fox terrier,fox terrier
663,wirehair,terrier
663,bullterrier,terrier
663,Staffordshire bullterrier,terrier
663,Skye terrier,terrier
663,soft-coated wheaten terrier,terrier
663,silky terrier,terrier
663,Boston bull,bullterrier
663,Lhasa,terrier
663,standard schnauzer,schnauzer
663,terrier,dog
663,smooth-haired fox terrier,fox terrier
663,West Highland white terrier,terrier
663,Clydesdale terrier,terrier
663,Irish terrier,terrier
663,Australian terrier,terrier
663,Norfolk terrier,terrier
663,toy Manchester,terrier
663,Sealyham terrier,terrier
663,Kerry blue terrier,terrier
663,Manchester terrier,terrier
663,Tibetan terrier,terrier
663,cairn,terrier
663,Dandie Dinmont,terrier
663,Lakeland terrier,terrier
664,orthoclase,feldspar
664,albite,feldspar
664,moonstone,orthoclase
664,calcite,spar
664,spar,calcite
664,chalk,calcite
664,feldspar,plagioclase
664,anorthite,plagioclase
664,alabaster,calcite
664,plagioclase,feldspar
664,Iceland spar,spar
665,government,bureaucracy
665,municipal government,local government
665,military government,government
665,puppet government,government
665,welfare state,state
665,totalitarian state,state
665,ancien regime,state
665,authoritarian state,state
665,Commission plan,municipal government
665,Porte,government
665,United States government,federal government
665,state government,government
665,government-in-exile,government
665,court,government
665,papacy,government
665,Soviets,government
665,town meeting,municipal government
665,palace,government
665,Court of Saint James's,government
665,Capital,government
665,Downing Street,government
666,joint,seam
666,toggle joint,joint
666,welt,seam
666,hinge,joint
666,butt weld,weld
666,electrical contact,contact
666,fell,seam
666,thermojunction,junction
