group,child,parent
647,bomb blast,blast
647,backblast,blast
647,airburst,blast
647,big bang,blast
647,blowback,blast
647,backfire,blast
647,inflation,blast
647,fragmentation,blast
647,nuclear explosion,explosion
647,explosion,blast
648,insanity,derangement
648,lunacy,derangement
648,craziness,derangement
648,dementia,derangement
648,senile dementia,dementia
648,alcoholic dementia,dementia
648,presenile dementia,dementia
648,Alzheimer's disease,dementia
648,Pick's disease,dementia
648,irrationality,derangement
649,diameter,bore
649,elongation,length
649,coextension,length
649,windage,elongation
649,shortness,length
649,semidiameter,radius
649,radius of curvature,radius
649,extension,length
649,circumference,diameter
649,longness,length
649,radius,length
650,Medicare,health care program
650,primary health care,type of health care
650,disability insurance,type of social insurance
650,survivors insurance,type of social insurance
650,social welfare,type of relief
650,unemployment compensation,type of relief
650,Social Security,type of social insurance
650,supplementary benefit,type of social welfare
650,national insurance,type of social insurance
650,Medicaid,type of health care program
650,social insurance,type of social welfare
650,relief,type of social welfare
650,dole,type of relief
650,old-age insurance,type of social insurance
651,vambrace,armor plate
651,cuisse,armor plate
651,plastron,armor plate
651,brassard,armor plate
651,armet,helmet
651,knee piece,armor plate
651,basinet,helmet
651,beaver,helmet
651,backplate,armor plate
651,morion,helmet
651,helmet,armor plate
651,casquet,helmet
651,rerebrace,armor plate
651,pickelhaube,helmet
651,pallette,armor plate
651,breastplate,armor plate
651,visor,helmet
651,cannon,armor plate
651,cubitiere,armor plate
651,heaume,helmet
651,nosepiece,armor plate
651,tuille,armor plate
651,epauliere,armor plate
651,fauld,armor plate
651,skirt of tasses,armor plate
651,sallet,helmet
651,greave,armor plate
651,tasset,armor plate
651,casque,helmet
651,roundel,armor plate
651,solleret,armor plate
651,chanfron,armor plate
651,gorget,armor plate
652,Sarcoscypha coccinea,Sarcosomataceae
652,Galiella rufa,Sarcosomataceae
652,Caloscypha fulgens,Sarcosomataceae
652,Jafnea semitosta,Sarcosomataceae
652,devil's cigar,Sarcosomataceae
652,Rufous rubber cup,Sarcosomataceae
652,Urnula craterium,Sarcosomataceae
652,black felt cup,Sarcosomataceae
652,winter urn,Sarcosomataceae
652,blood cup,Clavicipitaceae
652,Mitrula elegans,Clavicipitaceae
652,soldier grainy club,Clavicipitaceae
652,devil's urn,Clavicipitaceae
652,grainy club,Clavicipitaceae
652,charred pancake cup,Clavicipitaceae
652,Leotia lubrica,Clavicipitaceae
652,ascomycete,discomycete
652,Peziza domicilina,discomycete
652,Aleuria aurantia,discomycete
653,piano lesson,music lesson
653,violin lesson,music lesson
653,tennis lesson,lesson
653,lecture,lesson
653,chalk talk,lesson
653,dance lesson,lesson
653,teaching,lesson
653,German lesson,language lesson
653,Hebrew lesson,language lesson
653,French lesson,language lesson
653,golf lesson,lesson
653,inculcation,teaching
653,phonics,teaching reading
653,schooling,teaching
653,brainwashing,indoctrination
653,indoctrination,teaching
653,catechesis,catechetical instruction
653,catechetical instruction,teaching
653,whole-word method,teaching reading
653,tutelage,teaching
653,spoonfeeding,teaching
653,language teaching,teaching
653,talk,lesson
653,sleep-learning,teaching
653,music lesson,lesson
654,Coue,psychotherapist
654,curandera,herbalist
654,chiropractor,therapist
654,curandero,herbalist
654,masseuse,massager
654,osteopath,therapist
654,naprapath,therapist
654,sangoma,herbalist
654,electrotherapist,therapist
654,masseur,massager
654,alleviator,therapist
