group,child,parent
10002950_2,Probabilistic reasoning algorithms,Probability and statistics
10002950_2,Bayesian computation,Probabilistic reasoning algorithms
10002950_2,Probabilistic algorithms,Probabilistic reasoning algorithms
10002950_2,Probabilistic inference problems,Probabilistic reasoning algorithms
10002950_2,Variable elimination,Probabilistic inference problems
10002950_2,Markov-chain Monte Carlo methods,Probabilistic inference problems
10002950_2,Survival analysis,Probability and statistics
10002950_2,Equational models,Probability and statistics
10002950_2,Nonparametric statistics,Probability and statistics
10002950_2,Sequential Monte Carlo methods,Probabilistic inference problems
10002950_2,Resampling methods,Probability and statistics
10002950_2,Loopy belief propagation,Probabilistic reasoning algorithms
10002950_2,Contingency table analysis,Probability and statistics
10002950_2,Computing most probable explanation,Probabilistic inference problems
10002950_2,Dimensionality reduction,Probability and statistics
10002950_2,Bayesian nonparametric models,Probability and statistics
10002950_2,Expectation maximization,Probabilistic inference problems
10002950_2,Statistical paradigms,Probability and statistics
10002950_2,Markov-chain Monte Carlo convergence measures,Probabilistic inference problems
10002950_2,Exploratory data analysis,Probability and statistics
10002950_2,Bootstrapping,Probability and statistics
10002950_2,Gibbs sampling,Probabilistic inference problems
10002950_2,Statistical graphics,Probability and statistics
10002950_2,Robust regression,Regression analysis
10002950_2,Regression analysis,Probability and statistics
10002950_2,Metropolis-Hastings algorithm,Probabilistic inference problems
10002950_2,Stochastic differential equations,Stochastic processes
10002950_2,Cluster analysis,Probability and statistics
10002950_2,Kalman filters and hidden Markov models,Probabilistic inference problems
10002950_2,Time series analysis,Probability and statistics
10002950_2,Variational methods,Probabilistic reasoning algorithms
10002950_2,Renewal theory,Probability and statistics
10002950_2,Maximum likelihood estimation,Probability and statistics
10002950_2,Simulated annealing,Probabilistic reasoning algorithms
10002950_2,Kernel density estimators,Density estimation
10002950_2,Multivariate statistics,Probability and statistics
10002950_2,Jackknifing,Nonparametric statistics
10002950_2,Hypothesis testing and confidence interval computation,Probability and statistics
10002950_2,Nonparametric representations,Probability and statistics
10002950_2,Markov processes,Stochastic processes
10002950_2,Density estimation,Probability and statistics
10002950_2,Causal networks,Probabilistic reasoning algorithms
10002950_2,Bayesian networks,Probabilistic reasoning algorithms
10002950_2,Factor graphs,Probabilistic reasoning algorithms
10002950_2,Distribution functions,Probability and statistics
10002950_2,Random number generation,Probability and statistics
10002950_2,Queueing theory,Probability and statistics
10002950_3,Mathematical software,Statistical software
10002950_3,Solvers,Mathematical software
10002950_3,Mathematical software performance,Mathematical software.
10002950_5,Integral calculus,Calculus
10002950_5,Differential calculus,Calculus
10002950_5,Calculus,Continuous mathematics
10002950_5,Continuous functions,Continuous mathematics
10002950_5,Topology,Continuous mathematics
10002950_5,Geometric topology,Topology
10002950_5,Point-set topology,Topology
10002950_5,Algebraic topology,Topology
10002950_5,Lambda calculus,Calculus
10002951_5,Information retrieval,Retrieval tasks and goals
10002951_5,Retrieval models and ranking,Retrieval tasks and goals
10002951_5,Document representation,Retrieval tasks and goals
10002951_5,Query reformulation,Retrieval tasks and goals
10002951_5,Summarization,Retrieval tasks and goals
10002951_5,Structured text search,Retrieval tasks and goals
10002951_5,Query representation,Retrieval tasks and goals
10002951_5,Similarity measures,Retrieval tasks and goals
10002951_5,Presentation of retrieval results,Retrieval tasks and goals
10002951_5,Top-k retrieval in databases,Retrieval tasks and goals
10002951_5,Relevance assessment,Retrieval tasks and goals
10002951_5,"Combination, fusion and federated search",Retrieval tasks and goals
10002951_5,Document filtering,Retrieval tasks and goals
10002951_5,Clustering and classification,Retrieval tasks and goals
10002951_5,Collaborative search,Retrieval tasks and goals
10002951_5,Rank aggregation,Retrieval tasks and goals
10002951_5,Novelty in information retrieval,Retrieval effectiveness
10002951_5,Retrieval efficiency,Retrieval effectiveness
10002951_5,Retrieval effectiveness,Retrieval tasks and goals
10002951_5,Evaluation of retrieval results,Retrieval tasks and goals
10002951_5,Adversarial retrieval,Retrieval tasks and goals
10002951_5,Environment-specific retrieval,Retrieval tasks and goals
10002951_5,Document collection models,Retrieval tasks and goals
10002951_5,Distributed retrieval,Retrieval tasks and goals
10002951_5,Peer-to-peer retrieval,Retrieval tasks and goals
10002951_5,Retrieval on mobile devices,Retrieval tasks and goals
10002951_5,Multimedia and multimodal retrieval,Retrieval tasks and goals
10002951_5,Web and social media search,Retrieval tasks and goals
10002951_5,Business intelligence,Retrieval tasks and goals
10002951_5,Language models,Retrieval tasks and goals
10002951_5,Thesauri,Retrieval tasks and goals
10002951_5,Ontologies,Retrieval tasks and goals
10002951_5,Sentiment analysis,Retrieval tasks and goals
10002951_5,Music retrieval,Retrieval tasks and goals
10002951_5,Chemical and biochemical retrieval,Retrieval tasks and goals
10002951_5,Video search,Retrieval tasks and goals
10002951_5,Image search,Retrieval tasks and goals
10002951_5,Mathematics retrieval,Retrieval tasks and goals
10002951_5,Specialized information retrieval,Retrieval tasks and goals
10002951_5,Expert search,Retrieval tasks and goals
10002951_5,Enterprise search,Retrieval tasks and goals
10002951_5,Desktop search,Retrieval tasks and goals
10002951_5,Query intent,Retrieval tasks and goals
