group,child,parent
10002950_2,Probability and statistics,Statistical paradigms
10002950_2,Robust regression,Regression analysis
10002950_2,Kernel density estimators,Density estimation
10002950_2,Markov-chain Monte Carlo convergence measures,Markov-chain Monte Carlo methods
10002950_2,Stochastic differential equations,Stochastic processes
10002950_2,Markov networks,Markov processes
10002950_2,Bootstrapping,Resampling methods
10002950_2,Factor graphs,Probabilistic representations
10002950_2,Bayesian networks,Probabilistic representations
10002950_2,Multivariate statistics,Nonparametric statistics
10002950_2,Contingency table analysis,Nonparametric statistics
10002950_2,Equational models,Statistical paradigms
10002950_2,Survival analysis,Time series analysis
10002950_2,Time series analysis,Stochastic processes
10002950_2,Variable elimination,Probabilistic inference problems
10002950_2,Loopy belief propagation,Probabilistic reasoning algorithms
10002950_2,Spline models,Regression analysis
10002950_2,Bayesian nonparametric models,Probabilistic representations
10002950_2,Bayesian computation,Probabilistic algorithms
10002950_2,Kalman filters and hidden Markov models,Markov processes
10002950_2,Markov-chain Monte Carlo methods,Markov processes
10002950_2,Expectation maximization,Probabilistic algorithms
10002950_2,Sequential Monte Carlo methods,Probabilistic algorithms
10002950_2,Probabilistic representations,Probabilistic reasoning algorithms
10002950_2,Probabilistic algorithms,Probabilistic reasoning algorithms
10002950_2,Queueing theory,Stochastic processes
10002950_2,Simulated annealing,Random number generation
10002950_2,Distribution functions,Nonparametric statistics
10002950_2,Markov processes,Stochastic processes
10002950_2,Stochastic processes,Probability and statistics
10002950_2,Nonparametric statistics,Probability and statistics
10002950_2,Jackknifing,Resampling methods
10002950_2,Statistical graphics,Statistical paradigms
10002950_2,Gibbs sampling,Markov-chain Monte Carlo methods
10002950_2,Maximum likelihood estimation,Probabilistic algorithms
10002950_2,Variational methods,Probabilistic algorithms
10002950_2,Probabilistic reasoning algorithms,Probabilistic algorithms
10002950_2,Causal networks,Probabilistic reasoning algorithms
10002950_2,Statistical paradigms,Probability and statistics
10002950_2,Max marginal computation,Probabilistic inference problems
10002950_2,Dimensionality reduction,Nonparametric statistics
10002950_2,Probabilistic inference problems,Probabilistic reasoning algorithms
10002950_2,Computing most probable explanation,Probabilistic reasoning algorithms
10002950_2,Renewal theory,Stochastic processes
10002950_2,Cluster analysis,Nonparametric statistics
10002950_2,Exploratory data analysis,Statistical graphics
10002950_2,Decision diagrams,Nonparametric representations
10002950_2,Density estimation,Nonparametric statistics
10002950_2,Random number generation,Nonparametric representations
10002950_2,Quantile regression,Regression analysis
10002950_2,Metropolis-Hastings algorithm,Markov-chain Monte Carlo methods
10002950_2,Hypothesis testing and confidence interval computation,Statistical paradigms
10002950_2,Nonparametric representations,Nonparametric statistics
