group,child,parent
10002950_2,Contingency table analysis,Probability and statistics
10002950_2,Markov-chain Monte Carlo convergence measures,Markov-chain Monte Carlo methods
10002950_2,Jackknifing,Resampling methods
10002950_2,Bayesian computation,Probabilistic inference problems
10002950_2,Maximum likelihood estimation,Probabilistic inference problems
10002950_2,Density estimation,Nonparametric statistics
10002950_2,Random number generation,Stochastic processes
10002950_2,Exploratory data analysis,Statistical graphics
10002950_2,Markov processes,Stochastic processes
10002950_2,Loopy belief propagation,Probabilistic reasoning algorithms
10002950_2,Stochastic differential equations,Stochastic processes
10002950_2,Hypothesis testing and confidence interval computation,Statistical paradigms
10002950_2,Max marginal computation,Probabilistic reasoning algorithms
10002950_2,Multivariate statistics,Probability and statistics
10002950_2,Bayesian networks,Probabilistic representations
10002950_2,Regression analysis,Statistical paradigms
10002950_2,Robust regression,Regression analysis
10002950_2,Bootstrapping,Resampling methods
10002950_2,Markov-chain Monte Carlo methods,Probabilistic inference problems
10002950_2,Kernel density estimators,Density estimation
10002950_2,Cluster analysis,Dimensionality reduction
10002950_2,Spline models,Nonparametric representations
10002950_2,Probabilistic inference problems,Probabilistic reasoning algorithms
10002950_2,Nonparametric statistics,Probability and statistics
10002950_2,Metropolis-Hastings algorithm,Markov-chain Monte Carlo methods
10002950_2,Expectation maximization,Probabilistic inference problems
10002950_2,Statistical graphics,Statistical paradigms
10002950_2,Kalman filters and hidden Markov models,Time series analysis
10002950_2,Time series analysis,Stochastic processes
10002950_2,Renewal theory,Stochastic processes
10002950_2,Resampling methods,Probability and statistics
10002950_2,Causal networks,Probabilistic representations
10002950_2,Gibbs sampling,Markov-chain Monte Carlo methods
10002950_2,Simulated annealing,Stochastic processes
10002950_2,Nonparametric representations,Nonparametric statistics
10002950_2,Decision diagrams,Probabilistic reasoning algorithms
10002950_2,Factor graphs,Probabilistic reasoning algorithms
10002950_2,Variational methods,Probabilistic inference problems
10002950_2,Distribution functions,Probability and statistics
10002950_2,Probabilistic algorithms,Probabilistic reasoning algorithms
10002950_2,Bayesian nonparametric models,Probabilistic inference problems
10002950_2,Variable elimination,Probabilistic reasoning algorithms
10002950_2,Stochastic processes,Probability and statistics
10002950_2,Survival analysis,Statistical paradigms
10002950_2,Dimensionality reduction,Statistical paradigms
10002950_2,Probabilistic reasoning algorithms,Probability and statistics
10002950_2,Markov networks,Probabilistic representations
10002950_2,Quantile regression,Regression analysis
10002950_2,Queueing theory,Stochastic processes
10002950_2,Equational models,Probabilistic representations
10002950_2,Probabilistic representations,Probability and statistics
10002950_2,Computing most probable explanation,Probabilistic reasoning algorithms
10002950_2,Statistical paradigms,Probability and statistics
10002950_2,Sequential Monte Carlo methods,Probabilistic inference problems
10002950_3,Statistical software,Mathematical software
10002950_3,Mathematical software performance,Mathematical software
10002950_3,Solvers,Mathematical software
10002950_5,Continuous functions,Topology
10002950_5,Point-set topology,Topology
10002950_5,Geometric topology,Topology
10002950_5,Algebraic topology,Topology
10002950_5,Calculus,Differential calculus
10002950_5,Integral calculus,Differential calculus
10002950_5,Differential calculus,Calculus
10002950_5,Lambda calculus,Calculus
10002950_5,Calculus,Continuous mathematics
10002950_5,Topology,Continuous mathematics
10002951_5,Novelty in information retrieval,Specialized information retrieval
10002951_5,Document representation,Document structure
10002951_5,Document topic models,Document representation
10002951_5,Near-duplicate and plagiarism detection,Document filtering
10002951_5,Query suggestion,Query reformulation
10002951_5,Language models,Retrieval models and ranking
10002951_5,Rank aggregation,Retrieval models and ranking
10002951_5,Business intelligence,Retrieval tasks and goals
10002951_5,Video search,Multimedia and multimodal retrieval
10002951_5,Information retrieval query processing,Retrieval efficiency
10002951_5,Speech / audio search,Multimedia and multimodal retrieval
10002951_5,Evaluation of retrieval results,Retrieval effectiveness
10002951_5,Distributed retrieval,Search engine architectures and scalability
10002951_5,Relevance assessment,Retrieval effectiveness
10002951_5,Test collections,Evaluation of retrieval results
10002951_5,Query reformulation,Query representation
10002951_5,Searching with auxiliary databases,Retrieval efficiency
10002951_5,Presentation of retrieval results,Search interfaces
10002951_5,Structured text search,Structure and multilingual text search
10002951_5,Query representation,Retrieval models and ranking
10002951_5,Multilingual and cross-lingual retrieval,Retrieval tasks and goals
10002951_5,Top-k retrieval in databases,Retrieval models and ranking
10002951_5,Multimedia and multimodal retrieval,Information retrieval
10002951_5,Content analysis and feature selection,Information extraction
10002951_5,Retrieval tasks and goals,Information retrieval
10002951_5,Search index compression,Search engine indexing
10002951_5,Query log analysis,Retrieval effectiveness
10002951_5,Search engine indexing,Search engine architectures and scalability
10002951_5,Task models,Retrieval tasks and goals
10002951_5,Desktop search,Environment-specific retrieval
10002951_5,Data encoding and canonicalization,Search engine indexing
10002951_5,Music retrieval,Multimedia and multimodal retrieval
10002951_5,Information extraction,Document filtering
10002951_5,Question answering,Information retrieval
10002951_5,Retrieval models and ranking,Information retrieval
10002951_5,Summarization,Information retrieval
10002951_5,Structure and multilingual text search,Information retrieval
10002951_5,Similarity measures,Information retrieval
10002951_5,Retrieval efficiency,Information retrieval
10002951_5,Environment-specific retrieval,Information retrieval
10002951_5,Retrieval effectiveness,Information retrieval
10002951_5,Sentiment analysis,Information retrieval
10002951_5,Information retrieval,Specialized information retrieval
10002951_5,Ontologies,Document structure
10002951_5,Enterprise search,Specialized information retrieval
10002951_5,Link and co-citation analysis,Information retrieval
10002951_5,Search interfaces,Specialized information retrieval
10002951_5,Document filtering,Information retrieval
10002951_5,Image search,Multimedia and multimodal retrieval
10002951_5,Search engine architectures and scalability,Specialized information retrieval
10002951_5,Expert search,Specialized information retrieval
10002951_5,Web and social media search,Specialized information retrieval
10002951_5,Retrieval on mobile devices,Specialized information retrieval
10002951_5,Users and interactive retrieval,Specialized information retrieval
10002951_5,Document structure,Document representation
10002951_5,Probabilistic retrieval models,Retrieval models and ranking
10002951_5,"Combination, fusion and federated search",Specialized information retrieval
10002951_5,Adversarial retrieval,Specialized information retrieval
10002951_5,Query intent,Query representation
10002951_5,Collaborative search,Specialized information retrieval
10002951_5,Information retrieval diversity,Information retrieval
10002951_5,Dictionaries,Document structure
10002951_5,Clustering and classification,Information retrieval
10002951_5,Mathematics retrieval,Specialized information retrieval
10002951_5,Chemical and biochemical retrieval,Specialized information retrieval
10002951_5,Personalization,Information retrieval
10002951_5,Peer-to-peer retrieval,Specialized information retrieval
10002951_5,Document collection models,Document representation
10002951_5,Recommender systems,Information retrieval
10002951_5,Learning to rank,Retrieval models and ranking
10002951_5,Thesauri,Document structure
10002978_3,Access control,Security services
10002978_3,Authentication,Security services
10002978_3,Authorization,Access control
10002978_3,"Pseudonymity, anonymity and untraceability",Privacy-preserving protocols
10002978_3,Biometrics,Authentication
10002978_3,Digital rights management,Authorization
10002978_3,Multi-factor authentication,Authentication
10002978_3,Graphical/visual passwords,Authentication
10002978_3,Privacy-preserving protocols,Security services
10002978_9,Software reverse engineering,Software security engineering
10002978_9,Social network security and privacy,Software security engineering
10002978_9,Web application security,Software and application security
10002978_9,Software and application security,Software security engineering
10002978_9,Domain-specific security and privacy architectures,Software security engineering
10003120_3,Computer supported cooperative work,Collaborative and social computing
10003120_3,Collaborative and social computing design and evaluation methods,Collaborative and social computing
10003120_3,Collaborative and social computing devices,Collaborative and social computing
10003120_3,Empirical studies in collaborative and social computing,Collaborative and social computing
10003120_3,Collaborative and social computing systems and tools,Collaborative and social computing
10003120_3,"Collaborative and social computing theory, concepts and paradigms",Collaborative and social computing
10003120_3,Collaborative and social computing,Social media
10003120_3,Social networks,Collaborative and social computing
10003120_3,Collaborative content creation,Collaborative and social computing
10003120_3,Social media,Social content sharing
10003120_3,Social networking sites,Social networks
10003120_3,Open source software,Collaborative and social computing
10003120_3,Social content sharing,Collaborative and social computing
10003120_3,Social recommendation,Social networks
10003120_3,Wikis,Collaborative and social computing
10003120_3,Reputation systems,Social networks
10003120_3,Ethnographic studies,Collaborative and social computing
10003120_3,Social network analysis,Collaborative and social computing
10003120_3,Blogs,Social content sharing
10003120_3,Social tagging systems,Social tagging
10003120_3,Social navigation,Social networks
10003120_3,Asynchronous editors,Collaborative and social computing
10003120_3,Synchronous editors,Collaborative and social computing
10003120_3,Social engineering (social sciences),Social networks
10003120_3,Collaborative filtering,Collaborative and social computing
10003456_2,Net neutrality,Computing / technology policy
10003456_2,Computer crime,Computing / technology policy
10003456_2,Governmental surveillance,Computing / technology policy
10003456_2,Privacy policies,Computing / technology policy
10003456_2,Government technology policy,Computing / technology policy
10003456_2,Technology and censorship,Computing / technology policy
10003456_2,Governmental regulations,Computing / technology policy
10003456_2,Import / export controls,Computing / technology policy
10003456_2,Computing / technology policy,Commerce policy
10003456_2,Political speech,Commerce policy
10003456_2,Intellectual property,Commerce policy
10003456_2,Patents,Commerce policy
10003456_2,Licensing,Commerce policy
10003456_2,Antitrust and competition,Commerce policy
10003456_2,Consumer products policy,Commerce policy
10003456_2,Treaties,Commerce policy
10003456_2,Soft intellectual property,Commerce policy
10003456_2,Copyrights,Commerce policy
10003456_2,Trademarks,Commerce policy
10003456_2,Secondary liability,Commerce policy
10003456_2,Transborder data flow,Commerce policy
10003456_2,Online auctions policy,Commerce policy
10003456_2,Hate speech,Commerce policy
10003456_2,Acceptable use policy restrictions,Commerce policy
10003456_2,Censoring filters,Commerce policy
10003456_2,Technology and censorship,Commerce policy
10003456_2,Censorship,Commerce policy
10003456_2,Database protection laws,Commerce policy
10003456_2,Computing / technology policy,Commerce policy
10003456_2,Network access restrictions,Network access control
10003456_2,Broadband access,Network access control
10003456_2,Network access control,Commerce policy
10003456_2,Malware / spyware crime,Computer crime
10003456_2,Social engineering attacks,Computer crime
10003456_2,Hardware reverse engineering,Computer crime
10003456_2,Software reverse engineering,Computer crime
10003456_2,Financial crime,Computer crime
10003456_2,Identity theft,Computer crime
10003456_2,Computer crime,Commerce policy
