group,child,parent
10002950_2,Dimensionality reduction,Exploratory data analysis
10002950_2,Bayesian networks,Probabilistic representations
10002950_2,Probability and statistics,Statistical paradigms
10002950_2,Probabilistic inference problems,Probabilistic reasoning algorithms
10002950_2,Random number generation,Probability and statistics
10002950_2,Variational methods,Probabilistic reasoning algorithms
10002950_2,Sequential Monte Carlo methods,Probabilistic algorithms
10002950_2,Cluster analysis,Multivariate statistics
10002950_2,Equational models,Probabilistic representations
10002950_2,Density estimation,Multivariate statistics
10002950_2,Resampling methods,Nonparametric statistics
10002950_2,Markov-chain Monte Carlo methods,Probabilistic algorithms
10002950_2,Nonparametric representations,Nonparametric statistics
10002950_2,Quantile regression,Regression analysis
10002950_2,Bootstrapping,Resampling methods
10002950_2,Kernel density estimators,Density estimation
10002950_2,Bayesian computation,Probabilistic reasoning algorithms
10002950_2,Survival analysis,Time series analysis
10002950_2,Factor graphs,Markov networks
10002950_2,Robust regression,Regression analysis
10002950_2,Gibbs sampling,Markov-chain Monte Carlo convergence measures
10002950_2,Bayesian nonparametric models,Probabilistic representations
10002950_2,Stochastic differential equations,Markov processes
10002950_2,Causal networks,Bayesian networks
10002950_2,Simulated annealing,Probabilistic algorithms
10002950_2,Stochastic processes,Markov processes
10002950_2,Kalman filters and hidden Markov models,Time series analysis
10002950_2,Statistical graphics,Statistical paradigms
10002950_2,Hypothesis testing and confidence interval computation,Statistical paradigms
10002950_2,Statistical paradigms,Probability and statistics
10002950_2,Spline models,Regression analysis
10002950_2,Metropolis-Hastings algorithm,Markov-chain Monte Carlo convergence measures
10002950_2,Distribution functions,Probability and statistics
10002950_2,Probabilistic reasoning algorithms,Probabilistic algorithms
10002950_2,Markov-chain Monte Carlo convergence measures,Probabilistic algorithms
10002950_2,Multivariate statistics,Probability and statistics
10002950_2,Probabilistic representations,Probability and statistics
10002950_2,Maximum likelihood estimation,Probabilistic reasoning algorithms
10002950_2,Nonparametric statistics,Probability and statistics
10002950_2,Contingency table analysis,Statistical paradigms
10002950_2,Computing most probable explanation,Probabilistic reasoning algorithms
10002950_2,Renewal theory,Probabilistic algorithms
10002950_2,Variable elimination,Probabilistic reasoning algorithms
10002950_2,Decision diagrams,Probabilistic reasoning algorithms
10002950_2,Markov networks,Probabilistic representations
10002950_2,Max marginal computation,Probabilistic algorithms
