,Unnamed: 0,parent,child,group,flag,predict,label,compare
12869,12869,dominance,absolutism,647,True,0.7201967377145966,1,dominanceabsolutism647
12870,12870,dominance,ascendant,647,True,0.7313681493567673,1,dominanceascendant647
12871,12871,dominance,domination,647,True,0.7593970137013155,1,dominancedomination647
12872,12872,domination,transcendence,647,True,0.7296134753419806,1,dominationtranscendence647
12873,12873,dominance,dominion,647,True,0.7056140094743577,1,dominancedominion647
12874,12874,dominion,paramountcy,647,True,0.7763175607205874,1,dominionparamountcy647
12875,12875,dominion,raj,647,True,0.6504835655538256,1,dominionraj647
12876,12876,dominion,reign,647,True,0.6787272276779002,1,dominionreign647
12877,12877,reign,scepter,647,True,0.5627370777699786,1,reignscepter647
12878,12878,dominion,suzerainty,647,True,0.6298239960224441,1,dominionsuzerainty647
12879,12879,dominance,monopoly,647,True,0.637977418776395,1,dominancemonopoly647
12880,12880,dominance,predominance,647,True,0.7033479048492202,1,dominancepredominance647
12881,12881,dominance,regulation,647,True,0.5117497796755864,1,dominanceregulation647
12882,12882,need,lack,648,True,0.6493292368012947,1,needlack648
12883,12883,lack,absence,648,True,0.6111713681532475,1,lackabsence648
12884,12884,absence,awayness,648,True,0.7011473348911942,1,absenceawayness648
12885,12885,absence,nonoccurrence,648,True,0.614301513316494,1,absencenonoccurrence648
12886,12886,lack,dearth,648,True,0.6040254042460069,1,lackdearth648
12887,12887,lack,deficit,648,True,0.3926431393833907,1,lackdeficit648
12888,12888,lack,mineral_deficiency,648,True,0.5305294151795025,1,lackmineral_deficiency648
12889,12889,mineral_deficiency,sideropenia,648,True,0.4613590469585582,1,mineral_deficiencysideropenia648
12890,12890,lack,shortness,648,True,0.5258131502092416,1,lackshortness648
12891,12891,lack,stringency,648,True,0.29347639554094734,1,lackstringency648
12892,12892,need,necessity,648,True,0.8192330995903991,1,neednecessity648
12893,12893,necessity,requisiteness,648,True,0.7328338587178661,1,necessityrequisiteness648
12894,12894,necessity,urgency,648,True,0.5576924793615925,1,necessityurgency648
12895,12895,urgency,criticality,648,True,0.493859853934017,1,urgencycriticality648
12896,12896,urgency,hurry,648,True,0.4099030686521527,1,urgencyhurry648
12897,12897,urgency,imperativeness,648,True,0.4849981041395907,1,urgencyimperativeness648
12898,12898,marital_status,bachelorhood,649,True,0.5476435391333735,1,marital_statusbachelorhood649
12899,12899,marital_status,civil_union,649,True,0.5733302650599479,1,marital_statuscivil_union649
12900,12900,marital_status,marriage,649,True,0.6847345947845934,1,marital_statusmarriage649
12901,12901,marriage,bigamy,649,True,0.6786790047404678,1,marriagebigamy649
12902,12902,marriage,common-law_marriage,649,True,0.9324394762305965,1,marriagecommon-law_marriage649
12903,12903,marriage,cuckoldom,649,True,0.6096319256389151,1,marriagecuckoldom649
12904,12904,marriage,endogamy,649,True,0.6820254097209486,1,marriageendogamy649
12905,12905,marriage,exogamy,649,True,0.5505228389484315,1,marriageexogamy649
12906,12906,marriage,marriage_of_convenience,649,True,0.8251919339671625,1,marriagemarriage_of_convenience649
12907,12907,marriage,misalliance,649,True,0.5606085306087454,1,marriagemisalliance649
12908,12908,misalliance,mesalliance,649,True,0.3784883035964915,1,misalliancemesalliance649
12909,12909,marriage,monandry,649,True,0.6463332838149305,1,marriagemonandry649
12910,12910,marriage,monogamy,649,True,0.8073611815056901,1,marriagemonogamy649
