,Unnamed: 0,parent_x,child_x,group_x,flag,predict,label,compare,parent_y,child_y,weight,group_y
0,12869,dominance,absolutism,647,True,0.7201967377145966,1,dominanceabsolutism647,dominance,absolutism,0.7271658182144165,647
1,12870,dominance,ascendant,647,True,0.7313681493567673,1,dominanceascendant647,dominance,ascendant,0.744396448135376,647
2,12871,dominance,domination,647,True,0.7593970137013155,1,dominancedomination647,dominance,domination,0.751299262046814,647
3,12872,domination,transcendence,647,True,0.7296134753419806,1,dominationtranscendence647,domination,transcendence,0.7078732848167419,647
4,12873,dominance,dominion,647,True,0.7056140094743577,1,dominancedominion647,dominance,dominion,0.7180667519569397,647
5,12874,dominion,paramountcy,647,True,0.7763175607205874,1,dominionparamountcy647,dominion,paramountcy,0.7655054926872253,647
6,12875,dominion,raj,647,True,0.6504835655538256,1,dominionraj647,dominion,raj,0.6257954239845276,647
7,12876,dominion,reign,647,True,0.6787272276779002,1,dominionreign647,dominion,reign,0.6557471752166748,647
8,12878,dominion,suzerainty,647,True,0.6298239960224441,1,dominionsuzerainty647,dominion,suzerainty,0.6341830492019653,647
9,12880,dominance,predominance,647,True,0.7033479048492202,1,dominancepredominance647,dominance,predominance,0.7132375836372375,647
10,12883,lack,absence,648,True,0.6111713681532475,1,lackabsence648,lack,absence,0.6164788007736206,648
11,12892,need,necessity,648,True,0.8192330995903991,1,neednecessity648,need,necessity,0.7907662391662598,648
12,12893,necessity,requisiteness,648,True,0.7328338587178661,1,necessityrequisiteness648,necessity,requisiteness,0.7716192007064819,648
13,12894,necessity,urgency,648,True,0.5576924793615925,1,necessityurgency648,necessity,urgency,0.5497903227806091,648
14,12898,marital_status,bachelorhood,649,True,0.5476435391333735,1,marital_statusbachelorhood649,marital_status,bachelorhood,0.5369467735290527,649
15,12899,marital_status,civil_union,649,True,0.5733302650599479,1,marital_statuscivil_union649,marital_status,civil_union,0.581171452999115,649
16,12900,marital_status,marriage,649,True,0.6847345947845934,1,marital_statusmarriage649,marital_status,marriage,0.6729742884635925,649
17,12901,marriage,bigamy,649,True,0.6786790047404678,1,marriagebigamy649,marriage,bigamy,0.5857508778572083,649
18,12902,marriage,common-law_marriage,649,True,0.9324394762305965,1,marriagecommon-law_marriage649,marriage,common-law_marriage,0.8729066848754883,649
19,12903,marriage,cuckoldom,649,True,0.6096319256389151,1,marriagecuckoldom649,marriage,cuckoldom,0.5489495396614075,649
20,12904,marriage,endogamy,649,True,0.6820254097209486,1,marriageendogamy649,marriage,endogamy,0.6279444098472595,649
21,12905,marriage,exogamy,649,True,0.5505228389484315,1,marriageexogamy649,marriage,exogamy,0.49132829904556274,649
22,12906,marriage,marriage_of_convenience,649,True,0.8251919339671625,1,marriagemarriage_of_convenience649,marriage,marriage_of_convenience,0.7250111699104309,649
23,12907,marriage,misalliance,649,True,0.5606085306087454,1,marriagemisalliance649,marriage,misalliance,0.5323289632797241,649
24,12908,misalliance,mesalliance,649,True,0.3784883035964915,1,misalliancemesalliance649,misalliance,mesalliance,0.4018356204032898,649
25,12909,marriage,monandry,649,True,0.6463332838149305,1,marriagemonandry649,marriage,monandry,0.5959761142730713,649
26,12910,marriage,monogamy,649,True,0.8073611815056901,1,marriagemonogamy649,marriage,monogamy,0.7501237988471985,649
27,12911,monogamy,monogyny,649,True,0.5289109950386504,1,monogamymonogyny649,monogamy,monogyny,0.49553927779197693,649
28,12912,monogamy,serial_monogamy,649,True,0.7352891840582091,1,monogamyserial_monogamy649,monogamy,serial_monogamy,0.6071998476982117,649
29,12913,marriage,open_marriage,649,True,0.86919138088962,1,marriageopen_marriage649,marriage,open_marriage,0.7908815741539001,649
30,12914,marriage,polygamy,649,True,0.8100105610849506,1,marriagepolygamy649,marriage,polygamy,0.7316255569458008,649
31,12915,polygamy,polyandry,649,True,0.5184784918428686,1,polygamypolyandry649,polygamy,polyandry,0.47249138355255127,649
32,12916,polygamy,polygyny,649,True,0.5650207801478401,1,polygamypolygyny649,polygamy,polygyny,0.5077122449874878,649
33,12917,marriage,sigeh,649,True,0.5514632321694434,1,marriagesigeh649,marriage,sigeh,0.4975069463253021,649
34,12918,marital_status,spinsterhood,649,True,0.5342399188329185,1,marital_statusspinsterhood649,marital_status,spinsterhood,0.545405387878418,649
35,12919,marital_status,widowhood,649,True,0.5662341959651708,1,marital_statuswidowhood649,marital_status,widowhood,0.5554073452949524,649
36,12922,disorder,confusion,650,True,0.814019516353034,1,disorderconfusion650,disorder,confusion,0.7713724970817566,650
37,12929,disorder,discord,650,True,0.9020400677844618,1,disorderdiscord650,disorder,discord,0.8693094253540039,650
38,12930,disorder,disturbance,650,True,0.8047842858399268,1,disorderdisturbance650,disorder,disturbance,0.7436835765838623,650
39,12931,disturbance,convulsion,650,True,0.6991895759930983,1,disturbanceconvulsion650,disturbance,convulsion,0.6165274381637573,650
40,12932,disturbance,earthquake,650,True,0.7337818125130235,1,disturbanceearthquake650,disturbance,earthquake,0.641181230545044,650
41,12933,disturbance,incident,650,True,0.6894584873586646,1,disturbanceincident650,disturbance,incident,0.6328466534614563,650
42,12934,disturbance,stir,650,True,0.7852169837100879,1,disturbancestir650,disturbance,stir,0.7308923602104187,650
43,12935,disturbance,storm,650,True,0.8388847927479987,1,disturbancestorm650,disturbance,storm,0.7562352418899536,650
44,12936,disturbance,storm_center,650,True,0.8150436923907773,1,disturbancestorm_center650,disturbance,storm_center,0.7353838086128235,650
45,12937,disturbance,tumult,650,True,0.7760606468577032,1,disturbancetumult650,disturbance,tumult,0.6904696226119995,650
46,12946,violence,rage,650,True,0.9163333755740303,1,violencerage650,violence,rage,0.8726248145103455,650
47,12947,emotional_state,ecstasy,651,True,0.8808095401531573,1,emotional_stateecstasy651,emotional_state,ecstasy,0.8352092504501343,651
48,12948,emotional_state,embarrassment,651,True,0.7484765409082438,1,emotional_stateembarrassment651,emotional_state,embarrassment,0.7258021831512451,651
49,12952,emotional_state,happiness,651,True,0.839220685695901,1,emotional_statehappiness651,emotional_state,happiness,0.8179023265838623,651
50,12957,emotional_state,unhappiness,651,True,0.8307168435287698,1,emotional_stateunhappiness651,emotional_state,unhappiness,0.7879481315612793,651
51,12964,dysplasia,fibrous_dysplasia_of_bone,652,True,0.42287658480595497,1,dysplasiafibrous_dysplasia_of_bone652,dysplasia,fibrous_dysplasia_of_bone,0.3178742527961731,652
52,12965,fibrous_dysplasia_of_bone,Albright's_disease,652,True,0.43493149147467736,1,fibrous_dysplasia_of_boneAlbright's_disease652,fibrous_dysplasia_of_bone,Albright's_disease,0.41725578904151917,652
53,12966,fibrous_dysplasia_of_bone,monostotic_fibrous_dysplasia,652,True,0.6282334804685756,1,fibrous_dysplasia_of_bonemonostotic_fibrous_dysplasia652,fibrous_dysplasia_of_bone,monostotic_fibrous_dysplasia,0.56147301197052,652
54,12967,dysplasia,hyperplasia,652,True,0.3246368441302284,1,dysplasiahyperplasia652,dysplasia,hyperplasia,0.32092273235321045,652
55,12968,hyperplasia,benign_prostatic_hyperplasia,652,True,0.632867230195074,1,hyperplasiabenign_prostatic_hyperplasia652,hyperplasia,benign_prostatic_hyperplasia,0.5017770528793335,652
56,12970,hypertrophy,acromegaly,652,True,0.30521526483717987,1,hypertrophyacromegaly652,hypertrophy,acromegaly,0.299172580242157,652
